Fin-dex,PD#PN,Section,Slug,Status,Chars,Est_Cost_USD,Quota_Impact_%,COMMAND
0001,PD.AA.000,20 - About,buddha-dhamma-teachings-of-buddha,PENDING,7733,0.1547,1.55%,YES
0002,BD.AA.000,02 - Buddha Dhamma,dhamma,PENDING,1350,0.027,0.27%,YES
0003,BD.AA.001,02 - Buddha Dhamma,users-guide-puredhamma-website,PENDING,14707,0.2941,2.94%,YES
0004,CH.AA.000,23 - Buddhism in Charts,buddhism-in-charts,PENDING,1364,0.0273,0.27%,YES
0005,CH.AA.002,23 - Buddhism in Charts,buddha-dhamma-foundation,PENDING,353,0.0071,0.07%,YES
0006,BD.BB.001,02 - Buddha Dhamma,buddha-dhamma-a-scientific-approach,PENDING,351,0.007,0.07%,YES
0007,BD.BB.002,02 - Buddha Dhamma,introduction-scientific-approach-buddha-dhamma,PENDING,10167,0.2033,2.03%,YES
0008,BD.BB.003,02 - Buddha Dhamma,theories-of-our-world-scientific-overview,PENDING,7476,0.1495,1.5%,YES
0009,BD.BB.004,02 - Buddha Dhamma,mind-matter-buddhist-analysis,PENDING,11165,0.2233,2.23%,YES
0010,BD.BB.005,02 - Buddha Dhamma,sensual-pleasures-the-hidden-suffering,PENDING,12341,0.2468,2.47%,YES
0011,BD.BB.006,02 - Buddha Dhamma,kammic-energy-leads-to-consciousness,PENDING,10220,0.2044,2.04%,YES
0012,BD.CC.001,02 - Buddha Dhamma,brain-and-the-gandhabba,PENDING,241,0.0048,0.05%,YES
0013,BD.CC.002,02 - Buddha Dhamma,mind-is-not-in-the-brain,PENDING,10747,0.2149,2.15%,YES
0014,BD.CC.003,02 - Buddha Dhamma,gandhabba-in-a-human-body-an-analogy,PENDING,10809,0.2162,2.16%,YES
0015,BD.CC.004,02 - Buddha Dhamma,persistent-vegetative-state-buddhist-view,PENDING,11088,0.2218,2.22%,YES
0016,BD.CC.005,02 - Buddha Dhamma,patient-h-m-brain-and-memory,PENDING,12870,0.2574,2.57%,YES
0017,BD.CC.006,02 - Buddha Dhamma,memory-recall-for-gandhabba-in-a-human-body,PENDING,9598,0.192,1.92%,YES
0018,BD.CC.007,02 - Buddha Dhamma,how-do-we-see-role-of-the-gandhabba,PENDING,16906,0.3381,3.38%,YES
0019,BD.DD.001,02 - Buddha Dhamma,our-two-worlds-rupa-loka-and-nama-loka,PENDING,259,0.0052,0.05%,YES
0020,BD.DD.002,02 - Buddha Dhamma,autobiographical-memory-preserved-in-nama-loka,PENDING,11364,0.2273,2.27%,YES
0021,BD.DD.003,02 - Buddha Dhamma,rupa-and-rupakkhandha,PENDING,10856,0.2171,2.17%,YES
0022,BD.DD.004,02 - Buddha Dhamma,response-to-a-sensory-stimulus,PENDING,13477,0.2695,2.7%,YES
0023,BD.DD.005,02 - Buddha Dhamma,arammana-plays-critical-role-in-sensory-event,PENDING,11547,0.2309,2.31%,YES
0024,BD.DD.006,02 - Buddha Dhamma,nama-loka-and-rupa-loka,PENDING,12550,0.251,2.51%,YES
0025,BD.EE.001,02 - Buddha Dhamma,tipitaka-a-systematic-approach,PENDING,316,0.0063,0.06%,YES
0026,BD.EE.002,02 - Buddha Dhamma,tipitaka-uniqueness-buddha-dhamma,PENDING,12160,0.2432,2.43%,YES
0027,BD.EE.003,02 - Buddha Dhamma,pali-canon-is-self-contained-but-requires-detailed-explanation,PENDING,12162,0.2432,2.43%,YES
0028,BD.EE.004,02 - Buddha Dhamma,vinaya-pitaka-more-than-disciplinary-rules,PENDING,9411,0.1882,1.88%,YES
0029,BD.EE.005,02 - Buddha Dhamma,abhidhamma-pitaka-deeper-analyses-of-concepts,PENDING,11974,0.2395,2.39%,YES
0030,HB.AA.002,14 - Historical Background,incorrect-theravada-interpretations-historical-timeline,PENDING,11497,0.2299,2.3%,YES
